v8-version,8,6,395,17,-node.25,0
code-creation,Builtin,3,17461,0x100a729e0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,17473,0x100a72a00,72,AllocateInYoungGeneration
code-creation,Builtin,3,17484,0x100a72a60,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,17496,0x100a72aa0,72,AllocateInOldGeneration
code-creation,Builtin,3,17507,0x100a72b00,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,17519,0x100a72b40,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,17530,0x100a72d40,563,GrowFastDoubleElements
code-creation,Builtin,3,17541,0x100a72f80,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,17552,0x100a73140,500,DebugBreakTrampoline
code-creation,Builtin,3,17563,0x100a73340,141,FrameDropperTrampoline
code-creation,Builtin,3,17574,0x100a733e0,45,HandleDebuggerStatement
code-creation,Builtin,3,17584,0x100a73420,239,ToNumber
code-creation,Builtin,3,17594,0x100a73520,272,ToNumberConvertBigInt
code-creation,Builtin,3,17604,0x100a73640,140,Typeof
code-creation,Builtin,3,17613,0x100a736e0,69,GetSuperConstructor
code-creation,Builtin,3,17624,0x100a73740,125,BigIntToI64
code-creation,Builtin,3,17633,0x100a737c0,12,BigIntToI32Pair
code-creation,Builtin,3,17643,0x100a737e0,253,I64ToBigInt
code-creation,Builtin,3,17653,0x100a738e0,12,I32PairToBigInt
code-creation,Builtin,3,17663,0x100a73900,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,17674,0x100a73980,3081,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,17685,0x100a745a0,16384,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,17696,0x100a785c0,325,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,17706,0x100a78720,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,17718,0x100a78780,20,LoadIC_StringLength
code-creation,Builtin,3,17728,0x100a787a0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,17739,0x100a787c0,3004,LoadIC_NoFeedback
code-creation,Builtin,3,17749,0x100a79380,40,StoreGlobalIC_Slow
code-creation,Builtin,3,17759,0x100a793c0,7472,StoreIC_NoFeedback
code-creation,Builtin,3,17770,0x100a7b100,180,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,17781,0x100a7b1c0,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,17792,0x100a7b220,328,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,17804,0x100a7b380,328,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,17818,0x100a7b4e0,328,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,17831,0x100a7b640,328,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,17849,0x100a7b7a0,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,17861,0x100a7d260,10612,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,17874,0x100a7fbe0,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,17886,0x100a816a0,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,17902,0x100a83020,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,17914,0x100a854e0,21780,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,17929,0x100a8aa00,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,17942,0x100a8cec0,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,17955,0x100a8ff20,800,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,17966,0x100a90260,156,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,17977,0x100a90300,80,HasIndexedInterceptorIC
code-creation,Builtin,3,17988,0x100a90360,156,EnqueueMicrotask
code-creation,Builtin,3,17998,0x100a90400,8,RunMicrotasksTrampoline
code-creation,Builtin,3,18008,0x100a90420,2548,RunMicrotasks
code-creation,Builtin,3,18018,0x100a90e20,2172,HasProperty
code-creation,Builtin,3,18027,0x100a916a0,1108,DeleteProperty
code-creation,Builtin,3,18038,0x100a91b00,1987,CopyDataProperties
code-creation,Builtin,3,18048,0x100a922e0,8942,SetDataProperties
code-creation,Builtin,3,18058,0x100a945e0,36,Abort
code-creation,Builtin,3,18067,0x100a94620,36,AbortCSAAssert
code-creation,Builtin,3,18077,0x100a94660,12,EmptyFunction
code-creation,Builtin,3,18087,0x100a94680,12,Illegal
code-creation,Builtin,3,18096,0x100a946a0,12,StrictPoisonPillThrower
code-creation,Builtin,3,18106,0x100a946c0,12,UnsupportedThrower
code-creation,Builtin,3,18117,0x100a946e0,65,ReturnReceiver
code-creation,Builtin,3,18126,0x100a94740,36,ArrayConstructor
code-creation,Builtin,3,18136,0x100a94780,413,ArrayConstructorImpl
code-creation,Builtin,3,18146,0x100a94920,237,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,18160,0x100a94a20,237,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,18173,0x100a94b20,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,18187,0x100a94c00,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,18201,0x100a94ce0,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,18215,0x100a94dc0,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,18228,0x100a94ea0,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,18243,0x100a94f80,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,18257,0x100a95060,533,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,18271,0x100a95280,497,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,18284,0x100a95480,457,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,18299,0x100a95660,417,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,18314,0x100a95820,457,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,18328,0x100a95a00,417,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,18342,0x100a95bc0,469,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,18357,0x100a95da0,433,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,18372,0x100a95f60,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,18386,0x100a95fc0,12,ArrayConcat
code-creation,Builtin,3,18396,0x100a95fe0,12,ArrayPrototypeFill
code-creation,Builtin,3,18406,0x100a96000,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,18417,0x100a963c0,148,ArrayIncludesPackedDoubles
code-creation,Builtin,3,18429,0x100a96460,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,18440,0x100a96540,613,ArrayIncludes
code-creation,Builtin,3,18449,0x100a967c0,882,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,18464,0x100a96b40,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,18475,0x100a96bc0,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,18486,0x100a96c40,617,ArrayIndexOf
code-creation,Builtin,3,18495,0x100a96ec0,12,ArrayPop
code-creation,Builtin,3,18505,0x100a96ee0,710,ArrayPrototypePop
code-creation,Builtin,3,18515,0x100a971c0,12,ArrayPush
code-creation,Builtin,3,18524,0x100a971e0,2790,ArrayPrototypePush
code-creation,Builtin,3,18535,0x100a97ce0,12,ArrayShift
code-creation,Builtin,3,18544,0x100a97d00,12,ArrayUnshift
code-creation,Builtin,3,18554,0x100a97d20,1094,CloneFastJSArray
code-creation,Builtin,3,18564,0x100a98180,2502,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,18575,0x100a98b60,1098,ExtractFastJSArray
code-creation,Builtin,3,18585,0x100a98fc0,295,ArrayPrototypeEntries
code-creation,Builtin,3,18596,0x100a99100,283,ArrayPrototypeKeys
code-creation,Builtin,3,18606,0x100a99220,295,ArrayPrototypeValues
code-creation,Builtin,3,18616,0x100a99360,4320,ArrayIteratorPrototypeNext
code-creation,Builtin,3,18627,0x100a9a460,3810,FlattenIntoArray
code-creation,Builtin,3,18637,0x100a9b360,3838,FlatMapIntoArray
code-creation,Builtin,3,18647,0x100a9c260,508,ArrayPrototypeFlat
code-creation,Builtin,3,18657,0x100a9c460,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,18668,0x100a9c6a0,12,ArrayBufferConstructor
code-creation,Builtin,3,18678,0x100a9c6c0,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,18691,0x100a9c6e0,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,18702,0x100a9c700,12,ArrayBufferIsView
code-creation,Builtin,3,18713,0x100a9c720,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,18724,0x100a9c740,640,AsyncFunctionEnter
code-creation,Builtin,3,18734,0x100a9c9e0,161,AsyncFunctionReject
code-creation,Builtin,3,18744,0x100a9caa0,153,AsyncFunctionResolve
code-creation,Builtin,3,18754,0x100a9cb40,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,18766,0x100a9cb60,1466,AsyncFunctionAwaitCaught
code-creation,Builtin,3,18777,0x100a9d120,1466,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,18788,0x100a9d6e0,203,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,18799,0x100a9d7c0,195,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,18814,0x100a9d8a0,12,BigIntConstructor
code-creation,Builtin,3,18825,0x100a9d8c0,12,BigIntAsUintN
code-creation,Builtin,3,18835,0x100a9d8e0,12,BigIntAsIntN
code-creation,Builtin,3,18845,0x100a9d900,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,18856,0x100a9d920,12,BigIntPrototypeToString
code-creation,Builtin,3,18867,0x100a9d940,12,BigIntPrototypeValueOf
code-creation,Builtin,3,18877,0x100a9d960,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,18889,0x100a9d980,12,CallSitePrototypeGetEnclosingColumnNumber
code-creation,Builtin,3,18901,0x100a9d9a0,12,CallSitePrototypeGetEnclosingLineNumber
code-creation,Builtin,3,18914,0x100a9d9c0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,18926,0x100a9d9e0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,18937,0x100a9da00,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,18948,0x100a9da20,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,18960,0x100a9da40,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,18971,0x100a9da60,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,18982,0x100a9da80,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,18993,0x100a9daa0,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,19006,0x100a9dac0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,19019,0x100a9dae0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,19030,0x100a9db00,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,19041,0x100a9db20,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,19052,0x100a9db40,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,19063,0x100a9db60,12,CallSitePrototypeIsEval
code-creation,Builtin,3,19073,0x100a9db80,12,CallSitePrototypeIsNative
code-creation,Builtin,3,19084,0x100a9dba0,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,19102,0x100a9dbc0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,19113,0x100a9dbe0,12,CallSitePrototypeToString
code-creation,Builtin,3,19124,0x100a9dc00,12,ConsoleDebug
code-creation,Builtin,3,19134,0x100a9dc20,12,ConsoleError
code-creation,Builtin,3,19144,0x100a9dc40,12,ConsoleInfo
code-creation,Builtin,3,19153,0x100a9dc60,12,ConsoleLog
code-creation,Builtin,3,19163,0x100a9dc80,12,ConsoleWarn
code-creation,Builtin,3,19172,0x100a9dca0,12,ConsoleDir
code-creation,Builtin,3,19182,0x100a9dcc0,12,ConsoleDirXml
code-creation,Builtin,3,19192,0x100a9dce0,12,ConsoleTable
code-creation,Builtin,3,19201,0x100a9dd00,12,ConsoleTrace
code-creation,Builtin,3,19211,0x100a9dd20,12,ConsoleGroup
code-creation,Builtin,3,19221,0x100a9dd40,12,ConsoleGroupCollapsed
code-creation,Builtin,3,19231,0x100a9dd60,12,ConsoleGroupEnd
code-creation,Builtin,3,19241,0x100a9dd80,12,ConsoleClear
code-creation,Builtin,3,19254,0x100a9dda0,12,ConsoleCount
code-creation,Builtin,3,19264,0x100a9ddc0,12,ConsoleCountReset
code-creation,Builtin,3,19274,0x100a9dde0,12,ConsoleAssert
code-creation,Builtin,3,19284,0x100a9de00,12,ConsoleProfile
code-creation,Builtin,3,19294,0x100a9de20,12,ConsoleProfileEnd
code-creation,Builtin,3,19305,0x100a9de40,12,ConsoleTime
code-creation,Builtin,3,19314,0x100a9de60,12,ConsoleTimeLog
code-creation,Builtin,3,19324,0x100a9de80,12,ConsoleTimeEnd
code-creation,Builtin,3,19334,0x100a9dea0,12,ConsoleTimeStamp
code-creation,Builtin,3,19343,0x100a9dec0,12,ConsoleContext
code-creation,Builtin,3,19353,0x100a9dee0,12,DataViewConstructor
code-creation,Builtin,3,19363,0x100a9df00,12,DateConstructor
code-creation,Builtin,3,19373,0x100a9df20,238,DatePrototypeGetDate
code-creation,Builtin,3,19384,0x100a9e020,238,DatePrototypeGetDay
code-creation,Builtin,3,19394,0x100a9e120,238,DatePrototypeGetFullYear
code-creation,Builtin,3,19405,0x100a9e220,238,DatePrototypeGetHours
code-creation,Builtin,3,19416,0x100a9e320,206,DatePrototypeGetMilliseconds
code-creation,Builtin,3,19426,0x100a9e400,238,DatePrototypeGetMinutes
code-creation,Builtin,3,19436,0x100a9e500,238,DatePrototypeGetMonth
code-creation,Builtin,3,19446,0x100a9e600,238,DatePrototypeGetSeconds
code-creation,Builtin,3,19455,0x100a9e700,142,DatePrototypeGetTime
code-creation,Builtin,3,19465,0x100a9e7a0,206,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,19476,0x100a9e880,206,DatePrototypeGetUTCDate
code-creation,Builtin,3,19486,0x100a9e960,206,DatePrototypeGetUTCDay
